Mode 6-HDD-1-NVMe/base-1 6-HDD-1-NVMe/base-2 6-HDD-1-NVMe/base-3 6-HDD-1-NVMe/base-4 6-HDD-1-NVMe/base-5 6-HDD-1-NVMe/caching-1 6-HDD-1-NVMe/caching-2 6-HDD-1-NVMe/caching-3 6-HDD-1-NVMe/caching-4 6-HDD-1-NVMe/caching-5 6-HDD-1-NVMe/read-caching-1 6-HDD-1-NVMe/read-caching-2 6-HDD-1-NVMe/read-caching-3 6-HDD-1-NVMe/read-caching-4 6-HDD-1-NVMe/read-caching-5 6-HDD-1-NVMe/write-caching-1 6-HDD-1-NVMe/write-caching-2 6-HDD-1-NVMe/write-caching-3 6-HDD-1-NVMe/write-caching-4 6-HDD-1-NVMe/write-caching-5 
"65536/128" 9204383 7746573 8329430 7627487 7831769 5772101 5692373 6701592 6460600 5054872 7493167 7664066 8731325 5045500 8834880 7223211 5030358 7901559 4988274 5510915 
"65536/256" 7488064 8233129 8347389 8243500 8118118 5641899 6868203 6711245 6571340 6886960 8436546 8249685 8748833 6329537 7076674 3776843 5211567 6665515 5941147 5037733 
"65536/512" 7174944 8913955 8853946 8291491 5175847 6502937 5360876 7811293 6548328 4499276 8556828 6537271 5753255 8577923 8159324 6631904 7496641 5381868 4347008 5507162 
"65536/1024" 8495736 7822408 7202581 7615020 8863653 4492731 5410470 7081232 7904513 6708625 8798118 8388145 7800210 8189956 8739376 5471425 5564802 6712557 6603069 4332688 
"65536/2048" 8955484 8317835 9136464 8452890 8056964 5057569 6666970 4149425 5535665 5374082 7898607 5249187 7328942 8452110 7795344 7723718 8712507 6381259 6649391 6717642 
"65536/4096" 7259073 7631087 6168049 7061222 6901311 6580622 3883399 5673106 4110889 5343265 5681431 6866830 6770924 6654703 6799060 3675584 6036257 5031186 4634533 4654545 
"65536/8192" 5686367 5657459 5549635 4597404 5578580 4113780 5606686 3574726 4357483 4488403 4923850 5492855 5396131 4179584 5440023 4772201 4226497 4291828 3760155 4197006 
"65536/16384" 4240385 5215819 5848863 5693316 4198352 4034738 5417615 4962249 4469210 4404614 4468846 5091387 5145714 5488249 4691805 3828233 4626576 3277435 4568217 4702963 
"131072/64" 9205894 7383950 9002825 8041268 9046975 7356186 5638243 4610196 5787829 6055859 8722986 7393085 6986455 8761494 8892875 7571997 6032932 6742094 4958302 6034919 
"131072/128" 8252261 9059498 8747971 8498469 8735877 5540061 6922934 4560744 4621901 6148719 8943218 9022625 5691595 8607309 8489676 7280974 8551744 6944534 6456412 6339303 
"131072/256" 8986196 8894745 6393118 8858627 8188346 6842711 5080133 4766773 5344398 6986455 7520722 6867414 5797594 8926809 8370496 8099914 7678925 4738016 6409367 7074289 
"131072/512" 9040727 7274904 9077749 7747534 8848930 5147150 8089783 7443032 5473430 6211031 7222054 7391495 6042414 6321226 8743936 4508345 6509930 5609993 6202832 8362347 
"131072/1024" 9167821 7558879 8084429 7687085 8930434 6230247 7470137 5176812 6588809 6241493 6632529 8069359 8552809 8943218 7245946 6336599 6912749 7285412 4537256 4705008 
"131072/2048" 8870633 8739905 8940746 8843664 8884970 4400869 4499269 5516269 6013596 5481453 8518881 8449097 5180715 8838261 8488627 6367645 5103667 5008306 5046881 5360396 
"131072/4096" 7278082 7645818 7389309 7274134 7128132 5163344 4627737 5256153 5138634 5477084 6707545 6838711 6694150 6693172 5944861 4022569 5883969 4461115 4852350 5700270 
"131072/8192" 5768516 5713719 5553660 5768758 5683945 5529529 4898963 4016046 4417525 5522308 5568286 5615265 5121401 5506048 4581000 4736628 5259472 5422895 4297727 4489862 
"131072/16384" 5764705 5840214 4869499 4929183 5539558 4545585 5529529 4592442 4894601 5510242 4584362 5525305 5590653 5567835 5601818 4759180 4489532 4809265 5484406 5528806 
"262144/64" 7390790 8971664 9140902 8239633 8624580 6691616 5851958 4161147 8683087 7909939 6055653 7985135 8129247 8123241 8168017 4578612 4574535 8210714 6716100 5764699 
"262144/128" 9033507 7190307 8776797 7094776 8304919 7392479 8782967 8640508 7592431 7923334 7856583 8771406 8720067 8947789 8607566 7080157 8358330 7070232 7840169 8236300 
"262144/256" 8471283 5934490 8490450 8892933 8870262 5283883 6185273 7827276 6337176 5120991 6372325 8973568 7035892 8191018 9018614 5229175 7462724 8253116 4956197 7387661 
