Mode 6-HDD-1-NVMe/base-1 6-HDD-1-NVMe/base-2 6-HDD-1-NVMe/base-3 6-HDD-1-NVMe/base-4 6-HDD-1-NVMe/base-5 6-HDD-1-NVMe/caching-1 6-HDD-1-NVMe/caching-2 6-HDD-1-NVMe/caching-3 6-HDD-1-NVMe/caching-4 6-HDD-1-NVMe/caching-5 6-HDD-1-NVMe/read-caching-1 6-HDD-1-NVMe/read-caching-2 6-HDD-1-NVMe/read-caching-3 6-HDD-1-NVMe/read-caching-4 6-HDD-1-NVMe/read-caching-5 6-HDD-1-NVMe/write-caching-1 6-HDD-1-NVMe/write-caching-2 6-HDD-1-NVMe/write-caching-3 6-HDD-1-NVMe/write-caching-4 6-HDD-1-NVMe/write-caching-5 
"262144/4096" 562625 496617 507812 482276 518776 355705 490298 421706 521562 442721 619418 508125 532113 520364 429127 383125 402041 345734 504978 513117 
"262144/8192" 700989 623442 588924 569338 612268 430062 507850 415189 541127 1188828 676549 370938 609011 695681 575981 439511 605083 533367 463089 524443 
"262144/16384" 809164 855762 864357 866692 859280 686414 673056 706277 1175923 1105728 788827 620412 718237 780476 887438 740471 646050 655897 618181 694925 
"524288/64" 73263 74439 77221 78800 75154 88794 51222 45109 101149 151464 75643 73456 71208 70077 77191 98187 95704 44192 58724 111133 
"524288/128" 109261 111395 109458 108690 106134 107017 46773 39194 56091 228003 112269 111731 112647 107329 105008 57104 55511 62888 132054 104378 
"524288/256" 140816 141784 142746 144440 141125 330902 72680 166513 87547 92201 128141 146765 145355 144942 134018 70008 133556 146958 165173 386551 
"524288/512" 170749 168948 194217 177690 202430 144716 113271 101328 113953 142352 195176 183851 170255 189412 178644 138903 122306 113614 240495 260658 
"524288/1024" 248580 239476 265225 244257 263136 225498 178416 171065 254227 271117 264920 225085 251295 213749 257456 187857 306979 147584 267468 607673 
"524288/2048" 363551 379771 362775 379656 367330 272199 385868 302688 420130 275427 293748 422631 379892 446275 427459 211225 303562 362689 251179 364263 
"524288/4096" 510820 491089 466905 495354 488845 345555 497280 422337 496586 405742 306061 473061 489024 311372 432523 467974 415942 404346 400345 505868 
"524288/8192" 637761 583352 632517 587271 593222 630757 549079 602470 887295 334694 545055 571103 562076 538460 560142 468096 597703 506319 557714 490303 
"524288/16384" 802468 810468 800735 834295 780944 803040 699980 672302 743120 1219503 813441 844688 513031 625931 846090 686173 700622 706829 281715 698907 
