Mode 6-HDD-1-NVMe/base-1 6-HDD-1-NVMe/base-2 6-HDD-1-NVMe/base-3 6-HDD-1-NVMe/base-4 6-HDD-1-NVMe/base-5 6-HDD-1-NVMe/caching-1 6-HDD-1-NVMe/caching-2 6-HDD-1-NVMe/caching-3 6-HDD-1-NVMe/caching-4 6-HDD-1-NVMe/caching-5 6-HDD-1-NVMe/read-caching-1 6-HDD-1-NVMe/read-caching-2 6-HDD-1-NVMe/read-caching-3 6-HDD-1-NVMe/read-caching-4 6-HDD-1-NVMe/read-caching-5 6-HDD-1-NVMe/write-caching-1 6-HDD-1-NVMe/write-caching-2 6-HDD-1-NVMe/write-caching-3 6-HDD-1-NVMe/write-caching-4 6-HDD-1-NVMe/write-caching-5 
"131072/16384" 4303648 4413199 3854262 3751144 4446142 3431367 3424228 2898993 4047327 3379975 4292391 4260853 4267766 3788315 4107811 4047685 3743838 3785133 2962735 3430317 
"262144/64" 3932138 4265280 4462397 4357956 4696744 3891225 3705205 3842057 3698997 3827745 3934037 4689332 3836320 3935967 4492849 2986855 4245664 4098498 3185265 3818400 
"262144/128" 4404304 4022832 4367755 4090250 4285846 3684026 3598269 3474916 4328090 3626981 3557866 3435567 3603694 4003307 4450963 3224640 3593083 3306475 3040652 4091148 
"262144/256" 3976090 4016234 3376279 3436566 3456042 3571445 3273682 3374538 3751334 3346529 3415292 3377440 3388223 3945868 3729739 3931843 3984982 3042487 3342175 3523389 
"262144/512" 4031180 3946406 4034167 3715974 4036581 3707892 3917037 3378364 3000008 2685319 3650209 3337164 3332663 3863306 3868144 2872056 2949018 2919296 3055618 3180281 
"262144/1024" 3859319 3429000 3471460 3708567 3947483 3345002 2815637 2932947 3339455 3246367 3763790 3329111 3479667 3878843 3904962 3338481 3659746 3505349 2841608 3293096 
"262144/2048" 3490326 3304607 3266068 3365778 3707629 3162507 2687360 3183411 3191895 3223685 3728829 3302641 3626826 3710557 3635989 2415204 2714690 3272056 3192748 2756042 
"262144/4096" 3440706 3601427 3643013 3366912 3642457 3116204 2693047 2660331 2635114 3596233 3118865 3079124 3051767 3176422 3364573 2893963 2662308 2576707 3580913 3536853 
"262144/8192" 3697952 3221305 3668917 3393148 3567563 2987934 3615080 2755234 3217676 3518146 3666813 3156461 3097165 3505729 3097383 2896326 3172078 3087901 3115533 3050066 
"262144/16384" 4231758 3994697 3920137 4168767 4015750 3470310 3358714 3812178 3591757 3411964 3437318 3420508 4052441 4019067 3745826 2983483 3057572 3347854 3875630 3771640 
"524288/64" 4283123 4741514 4013989 4204361 4469670 4169880 3588532 4024406 3925307 4153631 4925114 4817002 4557600 4319714 4195986 4449907 3936480 4550282 4576418 4207563 
"524288/128" 4400089 4024074 4331669 3960771 3804230 3979384 3585291 3957007 3949644 4256106 3819474 3597473 3959786 4383162 4096542 3398595 3207439 3404757 4363870 3632558 
"524288/256" 3941249 3978960 3670790 4009824 3924606 3646231 3618797 3473280 3506381 3504107 3898743 3683272 3915550 3457911 3836272 3940479 3519164 3798743 3201192 3536516 
"524288/512" 3933522 3915048 3823678 3918417 3806667 3509739 3581886 3420725 3259643 3212570 3745371 3531365 3537757 3642480 3691439 3925216 3426001 3349010 3507690 3697690 
"524288/1024" 3953365 3748308 3635814 3955064 3953720 3916191 3161197 3745659 3868946 3268650 3661561 3881744 3437957 3856448 3739283 3180280 3228754 3615133 3560941 3528923 
"524288/2048" 3695944 3774085 3758257 3500783 3618672 3020301 3042949 3471048 2936067 3020964 3649153 3604171 3243393 3420481 3480613 3743363 3082360 3366648 2989388 3279237 
"524288/4096" 3577760 3226049 3339013 3474152 3362288 3553001 2974632 2889786 2900994 2914687 3548363 3289110 3537011 3493641 3228275 3452373 2968957 3403513 2952256 3303434 
"524288/8192" 3300791 3313454 3563313 3418609 3190440 3329508 2877651 3321075 3193044 3575927 3457448 3307369 3281703 3528634 3506728 3201173 3571397 3581693 3372730 3206635 
"524288/16384" 3776419 3737122 4043029 3726306 3857327 3858749 3535703 3461694 3617327 3701605 3966622 3593745 3631880 3801888 3963562 3137813 3618297 3515080 3897672 3507080 
