Mode 6-HDD-1-NVMe/base-1 6-HDD-1-NVMe/base-2 6-HDD-1-NVMe/base-3 6-HDD-1-NVMe/base-4 6-HDD-1-NVMe/base-5 6-HDD-1-NVMe/caching-1 6-HDD-1-NVMe/caching-2 6-HDD-1-NVMe/caching-3 6-HDD-1-NVMe/caching-4 6-HDD-1-NVMe/caching-5 6-HDD-1-NVMe/read-caching-1 6-HDD-1-NVMe/read-caching-2 6-HDD-1-NVMe/read-caching-3 6-HDD-1-NVMe/read-caching-4 6-HDD-1-NVMe/read-caching-5 6-HDD-1-NVMe/write-caching-1 6-HDD-1-NVMe/write-caching-2 6-HDD-1-NVMe/write-caching-3 6-HDD-1-NVMe/write-caching-4 6-HDD-1-NVMe/write-caching-5 
"65536/512" 293916 320226 362139 299797 379491 492307 181857 152856 155577 293383 286393 350925 362867 384657 333057 187346 138864 127129 123111 168580 
"65536/1024" 491167 453420 478829 458659 489622 710279 704226 229122 269506 194115 458220 422444 439491 469599 413962 282392 278642 226885 297339 278869 
"65536/2048" 605128 608511 769337 680313 612440 391706 871745 305018 389884 289141 788013 585996 646618 560697 611308 327642 393061 475809 381715 371201 
"65536/4096" 691264 758037 720872 802221 720651 528801 869523 504693 416019 419671 784028 495718 203022 548620 531978 376823 535929 552589 437011 521136 
"65536/8192" 905243 758818 799122 766073 731093 440794 1329333 648274 609241 677298 907964 764161 903583 711034 561740 589426 597094 587161 597863 554848 
"65536/16384" 906883 868624 850431 809595 1001680 845058 282074 364394 680879 773050 952793 857881 513122 784540 413233 626532 713572 724891 776888 702693 
"131072/64" 209614 224917 228138 207793 213520 64616 220069 81374 61996 59974 202133 150225 233035 201654 194465 78298 99988 62428 90405 60553 
"131072/128" 224681 246317 261531 257748 246809 73675 342322 71919 82897 73104 248300 242176 264026 158674 252084 84788 70572 73251 160682 73903 
"131072/256" 304769 155456 264817 327423 254646 114404 104110 115527 105302 141673 285100 315900 103546 326062 285495 80035 334769 78411 80140 79806 
"131072/512" 347511 348704 422670 364985 404596 154738 189376 169677 120972 150104 368349 304955 368599 350303 312138 161747 152438 149829 146591 190801 
"131072/1024" 477215 458635 459577 475601 476424 300608 752651 212788 507440 270379 504214 479964 447048 386129 444795 266078 309145 305408 289104 216001 
"131072/2048" 674200 603692 709648 752642 678114 351572 803960 389978 176115 388843 676804 680522 663329 590899 594540 489047 379703 416926 165516 430915 
"131072/4096" 723335 711964 787919 726929 756714 500959 136905 518400 818544 536867 780423 604974 666029 561208 708800 513190 528836 483127 505102 1170201 
"131072/8192" 844503 788892 743021 789732 786869 613768 300371 702433 1313069 180829 679724 506946 659445 491556 560127 638795 626956 654322 620618 153296 
"131072/16384" 967241 965831 915953 955147 922028 570637 1106344 733105 1389620 527336 1005547 791593 1021397 479886 923262 575334 724042 868959 753100 1091129 
"262144/64" 244188 226860 244531 223778 231222 89097 231835 140743 216320 241621 212977 205185 195885 210351 223352 86299 57930 78609 76093 106038 
"262144/128" 262799 255826 265719 259540 251090 97864 80983 86060 83999 305887 241950 248779 147257 256516 276823 135316 103044 84596 113727 340414 
"262144/256" 336468 344484 272410 337925 273267 81554 133091 149098 139990 80590 282122 296479 316805 275280 314657 158191 103874 93882 80700 166510 
"262144/512" 366441 380702 475789 368019 419917 153401 152210 212850 239359 152153 380475 206602 362221 334754 297339 179495 150279 161078 162576 239306 
"262144/1024" 488647 524168 549132 508096 488854 294681 304572 274732 325014 289813 451646 468769 339788 446354 447484 240734 257141 308220 305156 284194 
"262144/2048" 711999 710503 761798 723034 744997 393227 423040 420378 403716 390114 712632 590205 527696 648438 628314 511542 429884 387762 433240 307534 
"262144/4096" 734455 802716 759725 774806 786780 518365 533740 520398 431973 528746 665633 671234 637446 603708 714239 620504 504336 373709 867230 551521 
"262144/8192" 952382 841685 832404 824728 988819 647079 676504 708947 663131 1336474 745464 560715 921060 714863 745304 775120 506096 575527 648896 779628 
"262144/16384" 1004167 1045347 1077532 1094730 1052572 706802 812439 866543 511518 1079350 680653 643527 809213 772406 812033 827035 707122 701634 705120 617758 
"524288/64" 250641 250935 248985 249679 225131 97333 162987 103803 196850 153175 204876 205932 193638 206889 175168 63827 134805 120726 101759 70168 
"524288/128" 270683 275316 270324 270913 258186 89230 96900 149850 111462 151699 231795 230730 206825 247934 257129 102176 169524 152275 108106 117079 
"524288/256" 352167 352160 287043 348125 291249 86244 164833 110440 83238 84121 280513 252560 229490 239546 261899 225895 140019 156673 143798 454186 
"524288/512" 379474 390542 471115 386318 486884 157264 167320 151918 198857 155686 249193 321552 328400 329187 325268 191836 166034 173687 157033 179019 
"524288/1024" 510265 516451 526022 532871 564456 282993 307995 317319 284183 305832 431930 423439 458160 442616 417725 287927 302228 304029 299912 730923 
"524288/2048" 731819 732010 764222 700335 738469 375715 390882 363036 413637 453749 337739 619746 694005 644276 682854 358853 466228 509731 369876 391869 
"524288/4096" 811291 856986 829404 793028 815540 429666 561359 529160 535701 534933 857920 781647 513514 634840 478114 508925 506768 519736 454752 463339 
"524288/8192" 1032359 842794 829894 829398 777701 637870 773767 616665 702829 797665 708530 844269 335797 392601 599087 628992 606972 413120 692721 617010 
"524288/16384" 1070462 1096068 1035542 1033845 1130082 785470 783172 751126 681138 708262 813075 922593 502902 841976 327024 765333 799554 846537 835347 437617 
