Mode 6-HDD-1-NVMe/base-1 6-HDD-1-NVMe/base-2 6-HDD-1-NVMe/base-3 6-HDD-1-NVMe/base-4 6-HDD-1-NVMe/base-5 6-HDD-1-NVMe/caching-1 6-HDD-1-NVMe/caching-2 6-HDD-1-NVMe/caching-3 6-HDD-1-NVMe/caching-4 6-HDD-1-NVMe/caching-5 6-HDD-1-NVMe/read-caching-1 6-HDD-1-NVMe/read-caching-2 6-HDD-1-NVMe/read-caching-3 6-HDD-1-NVMe/read-caching-4 6-HDD-1-NVMe/read-caching-5 6-HDD-1-NVMe/write-caching-1 6-HDD-1-NVMe/write-caching-2 6-HDD-1-NVMe/write-caching-3 6-HDD-1-NVMe/write-caching-4 6-HDD-1-NVMe/write-caching-5 
"32768/512" 2248386 2339234 1894643 1932064 2344422 1938577 2776948 2004423 1758705 1827747 2602527 2666035 1784369 2184663 2298240 1675087 1774119 2271162 2278089 2269737 
"32768/1024" 2259550 2310838 1834211 1920965 2383122 1820147 1836368 1976605 1818100 1787665 2688355 2601640 2664020 2376528 2037436 2580344 2229277 2335061 2387468 2820660 
"32768/2048" 2004774 1835142 1990749 2251628 2325461 1858770 2061518 1946319 1767139 2112306 1784949 2311343 1799933 1820436 1900144 1865734 2349632 1826217 1817811 2327942 
"32768/4096" 1880180 1840696 1979823 2390957 2394623 1873312 1838849 1816706 1822778 1843264 2006970 2683264 1837890 2055198 1974703 1814092 2318869 2477546 1936883 2680647 
"32768/8192" 2344222 2533866 3036868 2221888 2633696 2574640 3022908 2626047 2061765 2089252 2129291 3001846 2078415 2592805 2377597 2239155 2646629 2586852 2062446 2073023 
"32768/16384" 2407838 2559584 3032914 2539953 2639564 2289244 3622839 2830885 2282364 2469489 3182576 2453399 2260330 3399530 3034387 2275863 2888841 2878434 2278089 2291458 
"65536/64" 1956596 2722377 2380600 2362594 2715733 2646216 2087345 2123169 2058813 2656189 2130146 2096467 1968534 2140163 2589528 2077799 2242989 2125797 1878469 2092127 
"65536/128" 2574274 2668618 2091856 2147369 2670563 2042763 1973736 2032627 2575480 2700181 2062164 1950473 1749067 1905330 2262671 2070584 2035080 2054550 2040988 2582594 
"65536/256" 2586798 2565791 2192659 2199343 2532694 2773888 2475868 2546467 2442364 1946247 2221795 1986057 1856382 2323236 2612142 2005517 2297737 2037811 2491013 1974218 
"65536/512" 2196987 2601044 2200822 2506916 1989320 2159974 1996399 2434102 1988413 1999013 1880576 1842915 2087662 2070974 2635686 2274146 1836770 2203486 1961860 1994400 
"65536/1024" 2514231 2180466 2589552 2503286 2586579 2209277 1979763 2441345 1846344 1992160 1847697 2665694 1978922 2119535 2437470 1975040 2496692 2539362 1969296 1890380 
"65536/2048" 2529571 2187372 2445645 2161197 2490156 1953911 2164328 2022279 2640776 2189637 1948786 1709473 2718446 2067515 2447649 1972079 2502420 2185702 1951816 1965437 
"65536/4096" 2522352 2506345 2458134 2467733 2126964 1933611 1946895 1969056 2097555 1946647 1966394 1985827 2469795 1948910 2173655 2383490 2411192 1920694 1955246 1831801 
"65536/8192" 2407201 2657473 2281886 2243373 2312000 2041428 2061592 2000555 2061592 2068682 2821060 2053583 1828669 2661899 1985039 1821664 1790061 2604667 2271853 2053338 
"65536/16384" 3190659 3135091 3178594 3047906 2503970 2449940 3309238 2453526 2633666 2464392 2451338 2350633 2414390 2411531 2994025 3300536 3149856 2266907 2477430 2503583 
"131072/64" 3004510 2948213 2695901 2729077 3013916 2294475 2251825 2224076 2289306 2251014 2912585 2245461 2168920 3028176 2269806 2269806 2483270 2891187 2847962 2293919 
"131072/128" 2781548 2799366 2246387 2422324 2598264 2820029 2781421 2774011 2163508 2161475 2169279 2026183 2138097 2722374 2233183 2785325 2212859 2582943 2243463 2729470 
"131072/256" 2690202 2175615 2173052 2671170 2693128 2095011 2122791 2195766 2077837 2455398 2008153 1961243 2030111 2117615 2557850 2151932 2155298 2599603 2349295 2139154 
"131072/512" 2645297 2184059 2496804 2690031 2659682 2071136 2136743 2084778 2453666 2117550 2091329 2058911 2089025 2715717 2217957 2449064 2633979 2429282 1981017 2083949 
"131072/1024" 2701399 2545887 2641560 2255928 2638593 2424300 2644330 2084573 2737285 1808509 2034996 1942409 2122660 2332697 2623221 2072080 2644546 2150307 2075961 2107435 
"131072/2048" 2448704 2593471 2236991 2433249 2601202 2055931 2658884 2537602 2574030 2582543 2644979 2613183 1962216 2289620 2541532 2244388 2034642 2385070 1815809 2061397 
"131072/4096" 2508367 2536817 2397332 2274916 2542813 2351405 2041684 2299311 2492581 2009812 2595381 1937753 2025153 2452462 2582749 2052677 2098562 2333490 1847125 2505680 
"131072/8192" 2633449 2603012 2619034 2624435 2067055 2173843 2534946 2057578 2550931 2094476 2538047 2266821 2387856 2048035 2170787 2116457 2556851 2396642 2050433 2639822 
"131072/16384" 2982910 2939103 2485628 2552767 3003969 2275161 2294120 2460849 2175365 2932049 2287981 2433034 2340404 2131317 2763247 2874332 2401552 2688426 2143666 2347740 
"262144/64" 2508102 2606634 2610892 3114862 3040905 2514762 2554658 2547708 3077099 2600143 3060142 3125745 2404440 2807585 2427125 2551676 3005864 2585219 2522262 2598213 
"262144/128" 2884798 2641356 2524839 2481134 2668291 2387881 2564459 2423375 2434994 2870421 2460061 2424315 2412358 2855319 2869732 2893514 2447085 2882484 2717730 2439051 
"262144/256" 2548423 2730350 2776651 2435016 2433367 2765289 2371636 2355691 2340801 2371488 2346246 2346962 2693239 2384794 2324898 2751008 2757611 2736479 2378351 2145627 
"262144/512" 2363063 2381803 2420089 2414695 2730181 2716662 2396108 2340572 2374320 2626930 2447935 2387643 2611283 2696455 2363657 2369791 2482047 2702493 2360060 2342222 
"262144/1024" 2758220 2430774 2414382 2534629 2384665 2399974 2349490 2604639 2377359 2340926 2763016 2339447 2619370 2655595 2683399 2411274 2409657 2712888 2340632 2604929 
"262144/2048" 2668809 2369260 2661741 2678816 2638776 2546569 2334777 2306226 2328759 2534384 2606479 2282428 2560846 2479953 2522968 2628192 2449418 2535167 2520712 2290965 
"262144/4096" 2234072 2571350 2576526 2317909 2429302 2277393 2257641 2257933 2212689 2320453 2555008 2165903 2213995 2211999 2376434 2542941 2328946 2314572 2265330 2405808 
"262144/8192" 2608167 2276365 2493501 2275635 2625274 2339153 2368678 2421000 2264938 2126464 2514762 2622700 2222969 2531693 2461421 2567399 2490440 2450450 2368356 2279097 
"262144/16384" 2852149 2855542 2609126 2873625 2854111 2505844 2505011 2448273 2470702 2635569 2720776 2886411 2874481 2794029 2705778 2811224 2464870 2710675 2446284 2831692 
"524288/64" 2868159 2834834 2727129 2934641 2927726 2675784 2752588 2746170 2669560 2909142 2709331 2901814 2529346 2922585 2804397 2869241 2803186 3000077 2758624 2726690 
"524288/128" 2820830 2739028 2644942 2669136 2797291 2948784 2918904 2690516 2807222 2954283 2641688 2847672 2506049 2802614 2490065 2682688 2884317 2893102 2903500 2680559 
"524288/256" 2725004 2658834 2691112 2741750 2647155 2691527 2769233 2824189 2572562 2712948 2627340 2318146 2655832 2701765 2759541 2549776 2830055 2539528 2758842 2421552 
"524288/512" 2657677 2542864 2623826 2426460 2719817 2676852 2523028 2756802 2493142 2551332 2721948 2412736 2403504 2711516 2728093 2778243 2464372 2750839 2497536 2514497 
"524288/1024" 2590112 2637848 2570292 2661686 2492788 2529395 2655347 2707090 2486641 2435503 2633066 2499205 2605753 2673575 2698814 2469015 2718562 2696038 2452291 2515403 
"524288/2048" 2615724 2437652 2614732 2586663 2478666 2416084 2414193 2554696 2585590 2366304 2518111 2442035 2644363 2499634 2543247 2455487 2440672 2458179 2447771 2464571 
"524288/4096" 2528712 2443652 2385557 2469525 2332461 2355736 2385187 2412228 2388392 2503607 2408569 2333374 2337097 2465555 2360371 2485261 2516223 2469608 2353072 2335858 
"524288/8192" 2362519 2375235 2303428 2532620 2343867 2323704 2502604 2389253 2384101 2416841 2509539 2436100 2510693 2443424 2316629 2332790 2234977 2454864 2400827 2396471 
"524288/16384" 2684292 2634653 2679984 2656749 2671123 2335558 2748834 2531005 2788576 2605533 2681903 2616010 2649793 2762318 2404978 2773292 2779405 2478281 2613691 2768341 
